Program,Country,Eligibility,Duration,Deadline,Stipend/Funding,Key Docs,Link
EPFL Summer@EPFL,Switzerland,2nd year Bachelor's or above,8-12 weeks (Feb-Aug),30 Nov 2025,Fully funded,"CV, Motivation Letter, Transcripts, 2 References, Passport",summer.epfl.ch
ETH Zurich SSRF,Switzerland,Bachelor's/Master's in CS or related; 2+ years completed,8 weeks (Jul-Aug 2026),16 Dec 2025,"CHF 4,000/month + Travel + Visa","CV (Europass), Transcripts, Motivation Letter",inf.ethz.ch/studies/summer-research-fellowship
NTU Singapore Global Connect Fellowship,Singapore,Bachelor's/Master's graduating 2026/2027; STEM preferred,2 months (Feb-Mar 2026),30 Sep 2025 (Closed),"SGD 1,600/month + Airfare + Accommodation","Application Form, Transcripts, Motivation",ntu.edu.sg/global-connect-fellowship
NIG Research Internship Japan,Japan,Pre-final year UG/PG in Life Sciences; No PhD,6 weeks (Jun-Jul 2026),5 Jan 2026,Airfare + Accommodation,"CV, Motivation Letter, Transcripts, 2 Recommendations",nig.ac.jp/jimu/soken/intern
UTRIP (UTokyo),Japan,1+ year Bachelor's; Natural Sciences; Outside Japan,6 weeks (Jun-Aug 2026),7 Jan 2026,Accommodation + Meals + Japanese Course,"CV, Personal Statement, Transcripts, TOEFL/IELTS, Recommendation",s.u-tokyo.ac.jp/en/utrip
UTokyo Amgen Scholars,Japan,UG students from Asian institutions; 1+ year completed,9 weeks (Jun-Aug 2026),1 Feb 2026,"JPY 280,000 + Travel + Accommodation","CV, Statement of Purpose, Transcripts, 2 Recommendations",u-tokyo.ac.jp/en/prospective-students/amgen_program
MEXT Research Students,Japan,"Born after Apr 2, 1990; Bachelor's degree",1.5-2 years,Apr-May 2025 (for 2026),Full scholarship + Living allowance,"Application Form, Transcripts, Recommendation, Health Certificate",studyinjapan.go.jp
RIKEN CBS Summer Program,Japan,Graduate students/Postdocs,2 months (Jun-Aug 2026),Check website,Stipend + Accommodation,"CV, Research Background, Statement of Purpose",cbs.riken.jp/en/summer
RIKEN IMS Internship,Japan,Master's/PhD students or Young Postdocs,1-3 months,4 months before start,"¥3,000/day + Airfare + Accommodation","CV, Statement of Purpose, Research Background, Recommendation",ims.riken.jp/english/jobs/internship
OIST Internship Japan,Japan,Final 2 years UG/Master's,3-6 months,15 Apr 2026 (Fall); 15 Oct 2025 (Spring),"JPY 2,400/day + Airfare + Accommodation","Statement of Purpose, CV, Transcripts",oist.jp/admissions/research-internship
METI Japan Internship,Japan,18-40 years; Students/Graduates; JLPT N3/English,3-6 months,"Rolling (Apr 15, 2026)","¥3,000/day + Airfare + Accommodation","CV, Enrollment Proof, Language Certificate",internshipprogram.go.jp
